META,PMID,AUTHOR,YEAR,AgeR,AgeC,SexR,SexC,HanR,HanC,PreR,PreC,CNSR,CNSC,NeuR,NeuC,MedR,MedC,RepR,RepC,EleR,EleC,TarR,TarC,PriR,PriC,NonR,NonC,CoiR,CoiC,OriR,OriC,CurR,CurC,LocR,LocC,StiR,StiC,IntR,IntC,PulR,PulC,HotR,HotC,MEPR,MEPC,DayR,DayC,AttR,AttC,ThrR,ThrC,NumR,NumC,TesR,TesC,ConR,ConC,ISIR,ISIC,MeaR,MeaC,UncR,UncC,TOT,NUMR,NUMC,SUMR,SUMC,PERCR,PERCC,R1R,R1C,R2R,R2C,PERCAG,PERCCH,AC1,AC95U,AC95L,KAPPA,KAPU,KAPL
SNOW 2019,15294215,Perretti ,2004,1,NAN,1,NAN,0,NAN,NAN,NAN,0,NAN,0,NAN,1,NAN,0,NAN,1,NAN,1,NAN,0,NAN,0,NAN,1,NAN,1,NAN,0,NAN,1,NAN,1,NAN,1,NAN,0,NAN,1,NAN,1,NAN,NAN,NAN,0,NAN,1,NAN,1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1,NAN,1,NAN,62.5,24,0,15,0,62.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
SNOW 2019,1580815,Sandroni ,1992,1,NAN,0,NAN,0,NAN,NAN,NAN,1,NAN,0,NAN,1,NAN,0,NAN,1,NAN,1,NAN,0,NAN,0,NAN,1,NAN,0,NAN,0,NAN,0,NAN,1,NAN,0,NAN,0,NAN,0,NAN,0,NAN,NAN,NAN,0,NAN,0,NAN,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1,NAN,0,NAN,29.2,24,0,7,0,29.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
SNOW 2019,26236509,Santarnecchi ,2015,1,NAN,1,NAN,1,NAN,NAN,NAN,0,NAN,0,NAN,0,NAN,0,NAN,1,NAN,1,NAN,0,NAN,0,NAN,1,NAN,1,NAN,0,NAN,1,NAN,1,NAN,1,NAN,0,NAN,1,NAN,1,NAN,NAN,NAN,0,NAN,1,NAN,1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1,NAN,0,NAN,58.3,24,0,14,0,58.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
SNOW 2019,22354741,Scheidegger ,2012,1,NAN,1,NAN,0,NAN,NAN,NAN,0,NAN,1,NAN,1,NAN,0,NAN,1,NAN,1,NAN,0,NAN,0,NAN,1,NAN,1,NAN,0,NAN,1,NAN,1,NAN,0,NAN,0,NAN,1,NAN,0,NAN,NAN,NAN,0,NAN,1,NAN,1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1,NAN,0,NAN,54.2,24,0,13,0,54.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
SNOW 2019,12391350,Schmierer ,2002,1,NAN,1,NAN,0,NAN,NAN,NAN,0,NAN,0,NAN,0,NAN,0,NAN,1,NAN,1,NAN,1,NAN,0,NAN,1,NAN,0,NAN,1,NAN,1,NAN,1,NAN,1,NAN,0,NAN,0,NAN,1,NAN,NAN,NAN,0,NAN,1,NAN,1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1,NAN,0,NAN,54.2,24,0,13,0,54.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
SNOW 2019,12691802,Tataroglu ,2003,1,NAN,1,NAN,0,NAN,NAN,NAN,0,NAN,0,NAN,1,NAN,0,NAN,1,NAN,1,NAN,0,NAN,0,NAN,0,NAN,0,NAN,0,NAN,1,NAN,1,NAN,1,NAN,0,NAN,0,NAN,0,NAN,NAN,NAN,0,NAN,0,NAN,1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1,NAN,0,NAN,37.5,24,0,9,0,37.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
SNOW 2019,15198449,Tataroglu ,2004,1,NAN,1,NAN,0,NAN,NAN,NAN,0,NAN,0,NAN,1,NAN,0,NAN,1,NAN,1,NAN,0,NAN,0,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,0,NAN,0,NAN,0,NAN,0,NAN,NAN,NAN,0,NAN,0,NAN,1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1,NAN,0,NAN,45.8,24,0,11,0,45.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
SNOW 2019,21965421,Vucic ,2012,1,NAN,1,NAN,0,NAN,NAN,NAN,0,NAN,0,NAN,0,NAN,0,NAN,1,NAN,0,NAN,0,NAN,0,NAN,1,NAN,0,NAN,0,NAN,0,NAN,1,NAN,1,NAN,0,NAN,0,NAN,1,NAN,NAN,NAN,0,NAN,1,NAN,0,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,44.4,27,0,12,0,44.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
SNOW 2019,21495114,Wahl ,2011,1,NAN,1,NAN,1,NAN,NAN,NAN,1,NAN,0,NAN,0,NAN,0,NAN,1,NAN,1,NAN,0,NAN,0,NAN,1,NAN,1,NAN,1,NAN,0,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,NAN,NAN,0,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,74.1,27,0,20,0,74.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
SNOW 2019,23599395,White ,2013,1,NAN,1,NAN,1,NAN,NAN,NAN,0,NAN,0,NAN,1,NAN,0,NAN,1,NAN,1,NAN,0,NAN,0,NAN,1,NAN,0,NAN,0,NAN,1,NAN,1,NAN,1,NAN,0,NAN,1,NAN,1,NAN,NAN,NAN,0,NAN,1,NAN,1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1,NAN,1,NAN,62.5,24,0,15,0,62.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
SNOW 2019,20194911,Zeller ,2010,1,NAN,1,NAN,1,NAN,NAN,NAN,1,NAN,0,NAN,1,NAN,0,NAN,1,NAN,1,NAN,0,NAN,0,NAN,0,NAN,1,NAN,0,NAN,0,NAN,1,NAN,1,NAN,0,NAN,0,NAN,0,NAN,NAN,NAN,0,NAN,0,NAN,1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1,NAN,1,NAN,50.0,24,0,12,0,50.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
