SEX,AGE,Height
F,12.1193826938,62.3634433567
F,15.1936531191,64.3413807446
F,14.1689894281,66.3609105639
F,16.0650455965,66.2807882283
F,17.1050736559,66.2702349248
F,15.1020256135,68.3605753413
F,24.095209421,68.2693203052
F,25.9917311763,68.2500760459
F,17.1358023925,70.2881879564
F,30.0906652927,68.2084836144
F,36.1319349172,66.1380496254
F,49.2552471646,70.0840332657
F,61.1700820054,68.0148822272
F,63.1436118371,70.0648717774
F,64.0912674517,65.9761081486
F,62.1793813281,63.9863758921
F,75.1649729649,65.9246245817
F,77.1987497439,67.8522371969
M,6.13873248617,48.3602028717
M,8.06644856506,52.4197897203
M,9.07602723994,56.4278102309
M,10.0548771782,56.41787771
M,11.1247028004,60.3035212856
M,13.1903257246,58.3951943153
M,12.1193826938,62.3634433567
M,15.1936531191,64.3413807446
M,14.1689894281,66.3609105639
M,16.0650455965,66.2807882283
M,17.1050736559,66.2702349248
M,15.1020256135,68.3605753413
M,24.095209421,68.2693203052
M,25.9917311763,68.2500760459
M,17.1358023925,70.2881879564
M,30.0906652927,68.2084836144
M,36.1319349172,66.1380496254
M,49.2552471646,70.0840332657
M,61.1700820054,68.0148822272
M,63.1436118371,70.0648717774
M,64.0912674517,65.9761081486
M,62.1793813281,63.9863758921
M,75.1649729649,65.9246245817
M,77.1987497439,67.8522371969
